selection1674376.cpp,selection
counting1833899.cpp,counting
selection1179237.cpp,none
merge1519521.cpp,none
quick1670903.cpp,quick
quick4476229.cpp,none
selection2848874.cpp,none
bubble940920.cpp,none
quick1956267.cpp,quick
quick2845632.cpp,quick
merge2616025.cpp,none
merge2686165.cpp,quick
merge1707052.cpp,none
merge1627388.cpp,none
quick882676.cpp,quick
insertion2692503.cpp,insertion
selection2925608.cpp,none
insertion2252698.cpp,insertion
quick4446741.cpp,quick
merge2632946.cpp,none
quick2916338.cpp,none
bubble2925584.cpp,none
quick1408869.cpp,quick
quick2350050.cpp,quick
bubble2036474.cpp,none
bubble2127000.cpp,none
quick4262467.cpp,quick
selection1510180.cpp,none
quick3771234.cpp,quick
merge2763093.cpp,none
counting3118558.cpp,counting
bubble1623357.cpp,bubble
merge4609155.cpp,none
insertion614876.cpp,insertion
quick2713012.cpp,quick
counting2651216.cpp,counting
selection773486.cpp,merge
selection2398016.cpp,none
quick1038943.cpp,quick
quick3476141.cpp,quick
insertion886616.cpp,insertion
selection650441.cpp,none
merge1300910.cpp,merge
bubble2692522.cpp,selection
selection1230411.cpp,selection
bubble2612286.cpp,bubble
merge4123845.cpp,none
merge2346297.cpp,none
selection1583278.cpp,selection
bubble656844.cpp,selection
bubble4261240.cpp,none
bubble1181852.cpp,none
merge877303.cpp,merge
quick2295339.cpp,none
bubble1510167.cpp,none
insertion376593.cpp,insertion
insertion1179233.cpp,none
selection1553625.cpp,none
selection656855.cpp,bubble
bubble907604.cpp,none
quick4005803.cpp,quick
selection2692533.cpp,none
selection1806847.cpp,none
counting1833900.cpp,counting
counting2380285.cpp,counting
selection379275.cpp,selection
merge1985095.cpp,none
merge2389438.cpp,none
counting3097992.cpp,counting
quick2270634.cpp,quick
counting715487.cpp,counting
bubble2398015.cpp,none
insertion1674259.cpp,insertion
bubble2402286.cpp,none
bubble1880720.cpp,none
selection655723.cpp,selection
insertion1236562.cpp,insertion
merge4262026.cpp,none
insertion4814472.cpp,insertion
quick2800144.cpp,quick
merge2379688.cpp,none
quick3190266.cpp,quick
quick2219423.cpp,quick
counting1315182.cpp,counting
merge3078852.cpp,none
counting3222255.cpp,counting
merge1820831.cpp,none
