bubble1880720.cpp,merge
selection2065667.cpp,selection
merge2632946.cpp,none
quick882676.cpp,none
bubble940920.cpp,none
bubble1510167.cpp,selection
selection2729789.cpp,bubble
bubble2736417.cpp,selection
bubble1181852.cpp,none
selection513085.cpp,selection
selection2692533.cpp,none
merge1707052.cpp,quick
bubble444638.cpp,selection
merge2763093.cpp,merge
quick2713012.cpp,none
quick2800144.cpp,none
quick1670903.cpp,none
counting3097992.cpp,counting
merge1982964.cpp,merge
quick2270634.cpp,none
bubble2036474.cpp,bubble
merge4123845.cpp,none
quick3476141.cpp,none
selection1179237.cpp,none
quick1038943.cpp,none
bubble655718.cpp,selection
bubble4261240.cpp,none
quick3771234.cpp,none
merge4609155.cpp,none
counting1833910.cpp,counting
quick4005803.cpp,none
quick1707176.cpp,none
quick3190266.cpp,none
merge1519521.cpp,merge
counting3118558.cpp,counting
bubble2692522.cpp,selection
quick4262467.cpp,none
quick2372665.cpp,none
selection1806847.cpp,selection
quick1956267.cpp,none
selection2398016.cpp,none
counting1315182.cpp,counting
merge1820831.cpp,merge
selection786553.cpp,none
merge4262026.cpp,none
merge1300910.cpp,none
quick4446741.cpp,none
selection655723.cpp,bubble
merge3078852.cpp,none
quick2916338.cpp,none
selection1510180.cpp,bubble
selection2925608.cpp,none
quick1408869.cpp,none
selection379275.cpp,selection
insertion4814472.cpp,insertion
counting2380285.cpp,counting
merge2129819.cpp,none
quick2512974.cpp,none
bubble1115420.cpp,bubble
quick2350050.cpp,none
bubble1951910.cpp,bubble
bubble2545834.cpp,bubble
merge2389438.cpp,merge
bubble2402286.cpp,bubble
counting1833899.cpp,counting
bubble2398015.cpp,selection
insertion2130492.cpp,insertion
merge1985095.cpp,merge
selection1553625.cpp,none
merge1627388.cpp,none
merge816717.cpp,none
counting1833900.cpp,counting
insertion376593.cpp,insertion
insertion3189904.cpp,insertion
insertion785925.cpp,insertion
merge3291030.cpp,quick
selection656855.cpp,bubble
insertion1674259.cpp,insertion
counting1538216.cpp,counting
counting3222255.cpp,counting
insertion1179233.cpp,none
quick2219423.cpp,none
counting2219599.cpp,counting
quick4476229.cpp,none
merge2616025.cpp,merge
quick2845632.cpp,quick
bubble907604.cpp,selection
quick2295339.cpp,none
bubble2925584.cpp,selection
bubble656844.cpp,selection
merge877303.cpp,merge
merge2379688.cpp,merge
insertion886616.cpp,insertion
selection1230411.cpp,selection
counting2122750.cpp,counting
insertion2692503.cpp,insertion
selection2848874.cpp,none
insertion614876.cpp,insertion
counting3068036.cpp,counting
selection444644.cpp,bubble
